,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積,最寄り駅_抽出,歩行時間
2484,エスティメゾン神田,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/秋葉原駅 歩10分,20,12階建,5,89000,10000,89000,89000,1K,22.04,ＪＲ山手線,歩10分
2496,都営新宿線 神保町駅 5階建 築6年,賃貸マンション,東京都千代田区神田神保町１,都営新宿線/神保町駅 歩3分,6,5階建,3,106000,9000,106000,106000,1K,22.18,都営新宿線,歩3分
2499,クレール千代田岩本町,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩5分,12,11階建,2,88000,7000,0,88000,ワンルーム,24.26,都営新宿線,歩5分
2502,フォレシティ秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分,21,12階建,5,113000,7000,0,0,1K,22.65,ＪＲ山手線,歩4分
2503,フォレシティ秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分,21,12階建,7,114000,7000,0,0,1K,22.65,ＪＲ山手線,歩4分
2504,フォレシティ秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分,21,12階建,8,115000,7000,0,0,1K,22.65,ＪＲ山手線,歩4分
2505,フォレシティ秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩4分,21,12階建,9,116000,7000,0,0,1K,22.65,ＪＲ山手線,歩4分
2514,東京メトロ半蔵門線 半蔵門駅 10階建 築52年,賃貸マンション,東京都千代田区平河町２,東京メトロ半蔵門線/半蔵門駅 歩3分,52,10階建,6,110000,10000,220000,110000,2DK,38.01,東京メトロ半蔵門線,歩3分
2517,ＪＲ山手線 神田駅 13階建 築20年,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩5分,20,13階建,2,88000,6000,88000,88000,1K,24.46,ＪＲ山手線,歩5分
2520,ＪＲ山手線 神田駅 13階建 築20年,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩5分,20,13階建,10,88000,7000,88000,88000,1K,22.34,ＪＲ山手線,歩5分
2521,ＪＲ山手線 神田駅 13階建 築20年,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩5分,20,13階建,10,88000,8000,88000,88000,1K,22.34,ＪＲ山手線,歩5分
2537,ＪＲ山手線 神田駅 地下1地上13階建 築17年,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩6分,17,地下1地上13階建,7,95000,7000,95000,190000,1K,22.68,ＪＲ山手線,歩6分
2538,ＪＲ山手線 神田駅 地下1地上13階建 築17年,賃貸マンション,東京都千代田区神田多町２,ＪＲ山手線/神田駅 歩6分,17,地下1地上13階建,4,96000,9000,96000,192000,1K,22.47,ＪＲ山手線,歩6分
2556,ＪＲ山手線 神田駅 8階建 築21年,賃貸マンション,東京都千代田区神田淡路町１,ＪＲ山手線/神田駅 歩12分,21,8階建,3,90000,10000,0,90000,1K,25.78,ＪＲ山手線,歩12分
2557,ＪＲ山手線 神田駅 8階建 築21年,賃貸マンション,東京都千代田区神田淡路町１,ＪＲ山手線/神田駅 歩12分,21,8階建,2,123000,10500,0,123000,ワンルーム,26.66,ＪＲ山手線,歩12分
2558,ＪＲ山手線 神田駅 8階建 築21年,賃貸マンション,東京都千代田区神田淡路町１,ＪＲ山手線/神田駅 歩12分,21,8階建,4,130000,10000,260000,130000,1LDK,35.36,ＪＲ山手線,歩12分
2559,ＪＲ山手線 神田駅 8階建 築21年,賃貸マンション,東京都千代田区神田淡路町１,ＪＲ山手線/神田駅 歩12分,21,8階建,3,155000,10000,155000,155000,1LDK,35.36,ＪＲ山手線,歩12分
2561,ＪＲ山手線 神田駅 8階建 築21年,賃貸マンション,東京都千代田区神田淡路町１,ＪＲ山手線/神田駅 歩12分,21,8階建,3,155000,12000,155000,155000,1LDK,35.36,ＪＲ山手線,歩12分
2562,ＪＲ山手線 神田駅 8階建 築21年,賃貸マンション,東京都千代田区神田淡路町１,ＪＲ山手線/神田駅 歩12分,21,8階建,3,158000,12000,158000,158000,1LDK,35.36,ＪＲ山手線,歩12分
2589,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,6,126000,10000,126000,126000,1K,27.14,東京メトロ半蔵門線,歩6分
2590,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,6,126000,10000,126000,126000,1K,27.09,東京メトロ半蔵門線,歩6分
2591,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,11,127000,10000,127000,127000,1K,27.26,東京メトロ半蔵門線,歩6分
2592,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,9,127000,10000,0,127000,1K,27.14,東京メトロ半蔵門線,歩6分
2593,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,10,127000,10000,127000,127000,1K,26.7,東京メトロ半蔵門線,歩6分
2594,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,10,130000,10000,130000,130000,1K,27.09,東京メトロ半蔵門線,歩6分
2595,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,10,130000,10000,130000,130000,1K,26.7,東京メトロ半蔵門線,歩6分
2596,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,10,133000,10000,133000,133000,1K,27.09,東京メトロ半蔵門線,歩6分
2597,東京メトロ半蔵門線 神保町駅 14階建 築17年,賃貸マンション,東京都千代田区神田小川町３,東京メトロ半蔵門線/神保町駅 歩6分,17,14階建,13,207000,15000,207000,207000,1LDK,44.86,東京メトロ半蔵門線,歩6分
2616,パークアクシス秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩3分,18,9階建,3,103000,8000,103000,0,1K,24.29,東京メトロ日比谷線,歩3分
2617,パークアクシス秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩3分,18,9階建,3,107000,8000,107000,0,1K,24.29,東京メトロ日比谷線,歩3分
2618,パークアクシス秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩3分,18,9階建,5,107000,8000,107000,0,1K,24.12,東京メトロ日比谷線,歩3分
2619,パークアクシス秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩3分,18,9階建,5,111000,8000,111000,0,1K,24.12,東京メトロ日比谷線,歩3分
2620,パークアクシス秋葉原,賃貸マンション,東京都千代田区神田佐久間町３,東京メトロ日比谷線/秋葉原駅 歩3分,18,9階建,3,142000,8000,142000,142000,1DK,30.24,東京メトロ日比谷線,歩3分
2633,東京メトロ銀座線 神田駅 13階建 築2年,賃貸マンション,東京都千代田区神田小川町１,東京メトロ銀座線/神田駅 歩7分,2,13階建,9,150000,15000,150000,0,1DK,25.52,東京メトロ銀座線,歩7分
2655,都営新宿線 岩本町駅 14階建 築4年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩3分,4,14階建,12,119000,6000,119000,119000,ワンルーム,25.03,都営新宿線,歩3分
2656,都営新宿線 岩本町駅 14階建 築4年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩3分,4,14階建,12,119000,10000,0,119000,ワンルーム,25.03,都営新宿線,歩3分
2657,都営新宿線 岩本町駅 14階建 築4年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩3分,4,14階建,11,174000,13000,87000,174000,1LDK,40.04,都営新宿線,歩3分
